
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,µm,Spot,1,1000000426,426,
0,µm,Spot,1,1000005575,5575,
0,µm,Spot,1,1000008102,8102,
0,µm,Spot,1,1000011182,11182,
0,µm,Spot,1,1000014633,14633,
0,µm,Spot,1,1000014915,14915,
0,µm,Spot,1,1000018381,18381,
0,µm,Spot,1,1000019405,19405,
0,µm,Spot,1,1000022248,22248,
0,µm,Spot,1,1000023039,23039,
0,µm,Spot,1,1000023639,23639,
0,µm,Spot,1,1000024512,24512,
0,µm,Spot,1,1000025762,25762,
0,µm,Spot,1,1000025863,25863,
0,µm,Spot,1,1000025898,25898,
0,µm,Spot,1,1000026374,26374,
0,µm,Spot,1,1000026660,26660,
0,µm,Spot,1,1000026789,26789,
0,µm,Spot,1,1000026990,26990,
0,µm,Spot,1,1000027048,27048,
0,µm,Spot,1,1000027245,27245,
0,µm,Spot,1,1000027656,27656,
0,µm,Spot,1,1000028849,28849,
0,µm,Spot,1,1000028860,28860,
0,µm,Spot,1,1000029962,29962,
2.60897,µm,Spot,2,1000000426,31408,
0,µm,Spot,2,1000034728,34728,
3.57271,µm,Spot,2,1000005575,36136,
4.47989,µm,Spot,2,1000008102,38443,
2.03662,µm,Spot,2,1000011182,41290,
1.18494,µm,Spot,2,1000014633,44511,
2.19245,µm,Spot,2,1000014915,44743,
1.20261,µm,Spot,2,1000018381,48029,
2.24724,µm,Spot,2,1000019405,48982,
2.05532,µm,Spot,2,1000023639,50349,
4.23927,µm,Spot,2,1000022248,51941,
2.08857,µm,Spot,2,1000023039,52388,
1.74706,µm,Spot,2,1000024512,53806,
2.48928,µm,Spot,2,1000026990,53878,
3.32914,µm,Spot,2,1000025863,54980,
1.87439,µm,Spot,2,1000025898,55022,
2.4778,µm,Spot,2,1000025762,55178,
1.32449,µm,Spot,2,1000026374,55483,
1.29391,µm,Spot,2,1000026660,55751,
2.70816,µm,Spot,2,1000026789,55877,
1.28375,µm,Spot,2,1000027048,56142,
2.9837,µm,Spot,2,1000027245,56330,
